name,value,units,stage,origin,source,illustrative
random_seed,4817,-,global,Fixed for reproducible synthetic output; engineering judgement.,illustrative,True
bay_width,4.5,m,ground_truth,Plausible demonstration geometry; engineering judgement.,illustrative,True
beam_area,0.15,m2,ground_truth,Equivalent 0.3 x 0.5 m beam; engineering judgement.,illustrative,True
beam_second_moment,0.003125,m4,ground_truth,Equivalent 0.3 x 0.5 m beam; engineering judgement.,illustrative,True
column_area,0.16,m2,ground_truth,Equivalent 0.4 m square column; engineering judgement.,illustrative,True
column_second_moment,0.00213,m4,ground_truth,Equivalent 0.4 m square column; engineering judgement.,illustrative,True
crack_orientation_base,18.0,degrees,ground_truth,Synthetic orientation pattern offset.,illustrative,True
crack_orientation_member_step,31.0,degrees/member,ground_truth,Synthetic pattern chosen to span orientations.,illustrative,True
crack_width_damage_scale,1.45,mm,ground_truth,Synthetic mapping from stiffness loss to crack width; engineering judgement.,illustrative,True
elastic_modulus,28000000000.0,Pa,ground_truth,Plausible RC elastic modulus from common design ranges; not calibrated.,illustrative,True
floor_node_mass,24000.0,kg,ground_truth,Plausible lumped tributary floor mass; engineering judgement.,illustrative,True
moderate_member_ids,2; 7; 11; 15; 20,member ids,ground_truth,Fixed distributed synthetic damage scenario.,illustrative,True
number_of_bays,3,-,ground_truth,Chosen with three storeys to produce 21 members.,illustrative,True
number_of_storeys,3,-,ground_truth,Chosen to give a non-trivial but inspectable frame.,illustrative,True
rotational_mass,1200.0,kg m2,ground_truth,Numerical rotational inertia with plausible scale; engineering judgement.,illustrative,True
severe_member_ids,1; 4; 6; 9; 13; 17; 19,member ids,ground_truth,Fixed clustered synthetic damage scenario.,illustrative,True
storey_height,3.2,m,ground_truth,Plausible demonstration geometry; engineering judgement.,illustrative,True
true_alpha_mild_minimum,0.86,-,ground_truth,Synthetic mild-damage band; engineering judgement.,illustrative,True
true_alpha_minimum,0.52,-,ground_truth,Synthetic damage range selected to span mild to severe states.,illustrative,True
true_alpha_moderate_minimum,0.74,-,ground_truth,Synthetic moderate-damage band lower edge.,illustrative,True
true_alpha_severe_maximum,0.78,-,ground_truth,Synthetic severe-damage band upper edge.,illustrative,True
true_crack_orientation_scatter,8.0,degrees,ground_truth,Synthetic member-to-member scatter.,illustrative,True
true_crack_width_scatter,0.06,mm,ground_truth,Synthetic member-to-member scatter; engineering judgement.,illustrative,True
dense_case_alpha_maximum,0.86,-,ground_truth_dense_case,Upper edge of the deliberately non-sparse damage case spanning most members.,illustrative,True
dense_case_alpha_minimum,0.64,-,ground_truth_dense_case,Lower edge of the deliberately non-sparse damage case.,illustrative,True
N_alpha_weight,0.52,-,performance,Illustrative acceptance reduction from stiffness damage.,illustrative,True
N_minimum,0.42,-,performance,Floor prevents negative illustrative acceptance factors.,illustrative,True
N_orientation_weight,0.08,-,performance,Illustrative orientation contribution to acceptance reduction.,illustrative,True
N_transport_weight,0.055,-,performance,Illustrative acceptance reduction from transport condition.,illustrative,True
N_width_weight,0.12,1/mm,performance,Illustrative acceptance reduction from crack width.,illustrative,True
beam_nominal_moment_capacity,245000.0,N m,performance,"Illustrative nominal capacity, not a tested RC value.",illustrative,True
calibration_prediction_noise,0.115,utilisation,performance,Synthetic score error for distribution-free calibration.,illustrative,True
calibration_score_maximum,1.35,utilisation,performance,Synthetic calibration support upper edge.,illustrative,True
calibration_score_minimum,0.35,utilisation,performance,Synthetic calibration support lower edge.,illustrative,True
column_nominal_moment_capacity,315000.0,N m,performance,"Illustrative nominal capacity, not a tested RC value.",illustrative,True
conformal_calibration_size,240,cases,performance,Synthetic calibration sample size.,illustrative,True
conformal_miscoverage,0.1,fraction,performance,Nominal 90 percent split-conformal target.,illustrative,True
conformal_validation_size,600,cases,performance,Synthetic held-out coverage-check sample size.,illustrative,True
design_storey_force,155000.0,N/storey,performance,Fixed synthetic lateral demand; engineering judgement.,illustrative,True
performance_level_thresholds,0.65; 0.9; 1.15,utilisation,performance,Illustrative IO/LS/CP boundaries for pipeline testing.,illustrative,True
performance_monte_carlo_samples,320,samples,performance,Compute-precision choice for propagated classification uncertainty.,illustrative,True
reduced_N_extra_uncertainty,0.055,acceptance factor,performance,Additional uncertainty when crack geometry is unavailable.,illustrative,True
acquisition_budget_per_period,2,acquisitions,retrofit,Separate illustrative per-period acquisition budget.,illustrative,True
capacity_damage_alpha_limit,0.8,alpha,retrofit,Illustrative two-axis logic threshold for stiffness intervention.,illustrative,True
combined_action_cost,7.0,cost units,retrofit,Illustrative bundle cost with sequencing internal to action.,illustrative,True
combined_stiffness_restore_fraction,0.82,fraction of loss,retrofit,Illustrative combined-action stiffness restoration.,illustrative,True
cover_action_cost,3.0,cost units,retrofit,Illustrative relative intervention cost.,illustrative,True
geometry_acquisition_cost,0.55,cost units,retrofit,Illustrative epistemic action cost.,illustrative,True
geometry_acquisition_variance_reduction,0.68,fraction,retrofit,Illustrative expected variance reduction after new geometry.,illustrative,True
interaction_absolute_keep_threshold,0.004,utility,retrofit,Numerical reporting threshold for solver-derived pair effects.,illustrative,True
intervention_budget_per_period,10,cost units,retrofit,Separate illustrative per-period intervention budget.,illustrative,True
jacket_action_cost,5.0,cost units,retrofit,Illustrative relative intervention cost.,illustrative,True
jacket_stiffness_restore_fraction,0.72,fraction of loss,retrofit,Illustrative partial stiffness restoration.,illustrative,True
period_discount_factor,0.94,-,retrofit,Illustrative time preference.,illustrative,True
planning_monte_carlo_samples,72,samples,retrofit,Compute-precision choice for action benefit moments.,illustrative,True
planning_periods,6,periods,retrofit,Requested approximate six-period horizon.,illustrative,True
reference_risk_lambda,0.002,utility/variance,retrofit,Illustrative reference risk preference scaled to the synthetic benefit variance.,illustrative,True
retrofit_benefit_scale,10.0,utility/loss,retrofit,Scales structural loss reduction into planning utility.,illustrative,True
risk_lambda_sweep,0.0; 0.0005; 0.001; 0.002; 0.005; 0.01,utility/variance,retrofit,Illustrative sweep spanning risk-neutral to risk-averse planning.,illustrative,True
simultaneous_out_of_service_limit,2,members,retrofit,Illustrative operational constraint.,illustrative,True
untreated_alpha_loss_per_period,0.018,alpha/period,retrofit,Illustrative conditional deterioration increment.,illustrative,True
untreated_state_cost_per_period,0.48,utility units,retrofit,Illustrative cost assigned to continued untreated exposure.,illustrative,True
environment_mode_scale_step,0.08,fraction/mode,sensing,Creates slightly mode-dependent environmental sensitivity.,illustrative,True
environmental_observations,48,-,sensing,Synthetic monitoring window; engineering judgement.,illustrative,True
frequency_noise_fraction,0.01,fraction,sensing,Specified by the task as the starting frequency noise.,illustrative,True
humidity_cycle_phase_offset,0.55,radians,sensing,Synthetic phase lag relative to temperature.,illustrative,True
humidity_frequency_coefficient,0.00042,fraction/%,sensing,Plausible illustrative environmental sensitivity; engineering judgement.,illustrative,True
humidity_random_scatter,2.0,%,sensing,Synthetic short-term sensor/environment scatter.,illustrative,True
lateral_sensor_bays,1; 3,bay ids,sensing,Two lateral sensors per elevated floor; sparse layout choice.,illustrative,True
mode_shape_component_noise,0.02,mass-normalised component,sensing,Specified by the task as the starting mode-shape noise.,illustrative,True
number_of_measured_modes,4,-,sensing,Four modes provide sparse modal features without resolving all members.,illustrative,True
relative_humidity_amplitude,18.0,%,sensing,Environmental swing chosen to rival mild damage effects.,illustrative,True
relative_humidity_mean,68.0,%,sensing,Plausible monitoring centre; engineering judgement.,illustrative,True
temperature_amplitude,8.0,degC,sensing,Environmental swing chosen to rival mild damage effects.,illustrative,True
temperature_frequency_coefficient,-0.00125,fraction/degC,sensing,Plausible illustrative environmental sensitivity; engineering judgement.,illustrative,True
temperature_mean,27.0,degC,sensing,Plausible warm-climate monitoring centre; engineering judgement.,illustrative,True
temperature_quadratic_coefficient,-3.5e-05,fraction/degC2,sensing,Small omitted nonlinearity added to leave residual contamination.,illustrative,True
temperature_random_scatter,0.8,degC,sensing,Synthetic short-term sensor/environment scatter.,illustrative,True
annealing_acquisition_pair_probability,0.1,fraction,solver,Proposal-mixture setting for acquisition plus later action.,illustrative,True
annealing_end_temperature,0.015,energy,solver,Final temperature for structured feasible QUBO annealing.,illustrative,True
annealing_local_polish_passes,14,passes,solver,Deterministic feasible one-flip cleanup after annealing.,illustrative,True
annealing_move_action_probability,0.15,fraction,solver,Proposal-mixture setting for temporal action moves.,illustrative,True
annealing_restarts,3,-,solver,Compute-quality choice for each candidate-generating anneal.,illustrative,True
annealing_single_flip_probability,0.7,fraction,solver,Proposal-mixture setting for feasible structured annealing.,illustrative,True
annealing_start_temperature,6.0,energy,solver,Initial temperature for structured feasible QUBO annealing.,illustrative,True
annealing_steps_per_restart,7000,proposals,solver,Compute-quality choice for each candidate-generating anneal.,illustrative,True
exact_check_annealing_restarts,8,-,solver,Reduced-instance verification compute setting.,illustrative,True
exact_check_steps_per_restart,5000,proposals,solver,Reduced-instance verification compute setting.,illustrative,True
strong_penalty_multiplier,5.0,base penalties,solver,Extra separation for Boolean-domain constraints that guard other reductions.,illustrative,True
jaccard_distribution_cliffs_delta_threshold,0.33,absolute effect,solver_diagnosis,Illustrative minimum rank-effect magnitude for distinguishability.,illustrative,True
jaccard_distribution_p_threshold,0.05,p value,solver_diagnosis,Illustrative Mann-Whitney decision threshold for distribution distinguishability.,illustrative,True
jaccard_substantial_iqr_overlap_fraction,0.25,fraction,solver_diagnosis,Illustrative threshold for calling interquartile-range overlap substantial.,illustrative,True
prior_plan_diagnostic_seed_base,31000,-,solver_diagnosis,Reproducible seed-series origin for prior and oracle plan comparisons.,illustrative,True
prior_plan_diagnostic_seed_count,50,independent seeds,solver_diagnosis,"Requested minimum seed count for flat, sparse and oracle plan-distribution diagnosis.",illustrative,True
exact_enumeration_chunk_size,65536,assignments,solver_verification,Memory-bounded vectorised brute-force chunk size.,illustrative,True
exact_ladder_annealing_steps,5000,proposals/seed,solver_verification,Per-seed annealing effort for exact ladder comparisons.,illustrative,True
exact_verification_ladder_primary_bits,12; 16; 20,primary bits,solver_verification,Requested intermediate brute-force ladder sizes.,illustrative,True
full_size_reliability_restarts_per_seed,1,restart/seed,solver_verification,One independent restart per reported seed; the 20 seeds form the restart ensemble.,illustrative,True
full_size_reliability_seed_base,12000,-,solver_verification,Reproducible seed-series origin for full-size solver verification.,illustrative,True
full_size_reliability_seed_count,20,independent seeds,solver_verification,Requested minimum multi-seed reliability protocol.,illustrative,True
full_size_reliability_worker_processes,4,processes,solver_verification,Parallel compute setting; does not change an annealing trajectory.,illustrative,True
milp_coefficient_zero_tolerance,1e-12,objective coefficient,solver_verification,Numerical threshold for omitting algebraic zero coefficients from the MILP linearisation.,illustrative,True
milp_qubo_equivalence_absolute_tolerance,1e-05,energy,solver_verification,Numerical acceptance tolerance when cross-scoring the MILP solution in the zero-penalty QUBO.,illustrative,True
milp_qubo_equivalence_relative_tolerance,1e-08,fraction,solver_verification,Relative numerical acceptance tolerance for MILP/QUBO objective equivalence.,illustrative,True
milp_requested_relative_gap,0.0,fraction,solver_verification,Requests a proof of global optimality from HiGHS rather than an approximate gap.,illustrative,True
milp_time_limit,600.0,seconds/solve,solver_verification,Compute limit for full-size HiGHS exactness checks; failure to prove optimality is reported.,illustrative,True
negative_control_penalties,1.0; 10.0,energy,solver_verification,Deliberately under-weighted hard-constraint penalties requested for checker negative controls.,illustrative,True
raw_negative_control_annealing_restarts,6,-,solver_verification,Independent raw-bit annealing effort for each negative control.,illustrative,True
raw_negative_control_end_temperature,0.01,energy,solver_verification,Final temperature for unconstrained full-bit negative-control search.,illustrative,True
raw_negative_control_start_temperature,30.0,energy,solver_verification,High initial temperature for unconstrained full-bit negative-control search.,illustrative,True
raw_negative_control_steps_per_restart,45000,single-bit proposals,solver_verification,Independent raw-bit annealing effort for each negative control.,illustrative,True
alpha_estimation_lower_bound,0.35,-,state_estimation,Bound avoids nonphysical singular trial frames.,illustrative,True
alpha_prior_mean,0.9,-,state_estimation,Weak regularising prior centred on modest damage; engineering judgement.,illustrative,True
alpha_prior_sd,0.18,-,state_estimation,Broad prior used to regularise the sparse inverse problem.,illustrative,True
credible_interval_normal_z_90,1.645,standard deviations,state_estimation,Normal/Laplace-approximation multiplier for illustrative central 90 percent member intervals.,illustrative,True
horseshoe_convergence_tolerance,0.0005,relative change,state_estimation,Stopping tolerance for horseshoe state and scale updates.,illustrative,True
horseshoe_global_half_cauchy_scale,0.15,stiffness loss,state_estimation,Illustrative weak global-scale hyperprior for the local-global horseshoe alternative.,illustrative,True
horseshoe_global_scale_maximum,1.0,stiffness loss,state_estimation,Numerical upper bound for inferred global horseshoe scale.,illustrative,True
horseshoe_global_scale_minimum,0.005,stiffness loss,state_estimation,Numerical lower bound for inferred global horseshoe scale.,illustrative,True
horseshoe_local_scale_smoothing,0.01,stiffness loss,state_estimation,Numerical regularisation of the horseshoe spike at zero loss.,illustrative,True
horseshoe_max_iterations,30,iterations,state_estimation,Maximum empirical-Bayes local-global horseshoe updates.,illustrative,True
identifiable_correlation_limit,0.82,-,state_estimation,Operational synthetic separability flag.,illustrative,True
identifiable_sd_limit,0.17,-,state_estimation,"Operational synthetic identifiability flag, not a physical threshold.",illustrative,True
sparse_prior_convergence_tolerance,0.0005,relative change,state_estimation,Stopping tolerance for joint stiffness loss and precision updates.,illustrative,True
sparse_prior_laplace_smoothing,0.015,stiffness loss,state_estimation,Differentiable approximation scale for the hierarchical Laplace prior.,illustrative,True
sparse_prior_max_iterations,30,iterations,state_estimation,Maximum empirical-Bayes IRLS updates.,illustrative,True
sparse_prior_precision_hyper_rate,0.5,stiffness loss,state_estimation,Weak Gamma hyperprior rate preventing a degenerate infinite precision; illustrative hierarchical-prior choice.,illustrative,True
sparse_prior_precision_hyper_shape,1.0,-,state_estimation,Weak Gamma hyperprior shape for the inferred Laplace precision; illustrative hierarchical-prior choice.,illustrative,True
state_estimation_max_function_evaluations,260,evaluations,state_estimation,Nonlinear solver compute limit for the demonstration.,illustrative,True
tradeoff_correlation_limit,0.7,-,state_estimation,Operational threshold for reporting parameter trade-offs.,illustrative,True
genuinely_damaged_alpha_limit,0.86,alpha,state_estimation_diagnosis,Matches the synthetic mild-damage lower edge for reporting damaged-member shrinkage bias.,illustrative,True
material_shrinkage_bias_increment,0.05,alpha,state_estimation_diagnosis,Illustrative trigger for testing the horseshoe alternative when sparse-minus-flat damaged-member bias exceeds this value.,illustrative,True
M_full_alpha_coefficient,2.2,-,transport,Illustrative monotone stiffness-damage contribution.,illustrative,True
M_full_alpha_power,1.35,-,transport,Illustrative nonlinear stiffness-damage exponent.,illustrative,True
M_full_orientation_weight,0.65,-,transport,Illustrative orientation modulation of transport.,illustrative,True
M_full_width_coefficient,1.75,1/mm,transport,Illustrative crack-width contribution informed by engineering judgement.,illustrative,True
M_full_width_power,1.18,-,transport,Illustrative crack-width nonlinearity.,illustrative,True
M_reduced_alpha_coefficient,5.0,-,transport,Synthetic reduced-form surrogate after marginalising missing geometry.,illustrative,True
M_reduced_alpha_power,1.1,-,transport,Synthetic reduced-form exponent.,illustrative,True
M_reduced_log_sd,0.42,log-ratio,transport,Inflated irreducible uncertainty for missing geometry.,illustrative,True
poor_transport_multiplier_limit,1.75,ratio,transport,Illustrative decision threshold for durability intervention.,illustrative,True
geometry_crack_width_sd,0.08,mm,two_tier_state,Illustrative field geometry measurement uncertainty.,illustrative,True
geometry_expiry_periods,2,periods,two_tier_state,Requested finite geometry lifetime; illustrative policy choice.,illustrative,True
geometry_orientation_sd,7.0,degrees,two_tier_state,Illustrative field orientation measurement uncertainty.,illustrative,True
geometry_record_probability,0.57,fraction,two_tier_state,Creates a mixed full/reduced demonstration population.,illustrative,True
new_damage_event_probability,0.14,fraction,two_tier_state,Synthetic invalidation rate for geometry records.,illustrative,True
reduced_tier_alpha_sd_multiplier,1.65,-,two_tier_state,Inflation for members lacking admissible geometry.,illustrative,True
